,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max
Unnamed: 0,492.0,4811.087398373984,2697.5245245547026,29.0,118.55,447.55,2491.25,4893.0,7205.0,8880.45,9221.16,9372.0
Код,492.0,99176862.7703252,72473.61497630218,99000573.0,99006582.29,99038907.65,99118587.5,99225854.0,99229732.25,99232848.6,99233342.08,99233503.0
% ставка,492.0,47.02439024390244,2.2162643185506083,42.0,42.0,42.0,48.0,48.0,48.0,48.0,48.0,48.0
Год выпуска,492.0,2015.0365853658536,5.209919542208147,1996.0,2003.91,2007.0,2011.0,2014.0,2019.0,2024.0,2025.0,2025.0
